epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4947,1.75881,1.80971,1.80464,0.67812,0.73445,0.69369,0.43599,1.29492,1.45268,1.17712,0.000470453,0.000470453,0.000470453
2,89.173,1.64341,1.42034,1.62413,0.7018,0.75049,0.7325,0.50229,1.22024,1.2331,1.13027,0.00092804,0.00092804,0.00092804
3,132.846,1.57159,1.29474,1.54609,0.73908,0.76442,0.73123,0.49196,1.26493,1.07825,1.15325,0.00136676,0.00136676,0.00136676
4,175.672,1.57671,1.23591,1.53041,0.71817,0.84967,0.76343,0.53535,1.15213,1.00376,1.08586,0.00134412,0.00134412,0.00134412
5,219.294,1.52256,1.15523,1.49419,0.69054,0.85903,0.76169,0.55036,1.09337,1.0017,1.08856,0.00131582,0.00131582,0.00131582
6,262.931,1.4622,1.09124,1.45194,0.68971,0.92715,0.77011,0.54672,1.10879,0.93973,1.06826,0.00128753,0.00128753,0.00128753
7,307.043,1.42928,1.04001,1.41956,0.68158,0.90427,0.76735,0.56198,1.0455,0.94429,1.04833,0.00125923,0.00125923,0.00125923
8,352.196,1.41658,1.01742,1.40675,0.66549,0.93519,0.78129,0.58411,1.02524,0.9408,1.02319,0.00123094,0.00123094,0.00123094
9,395.526,1.41055,1.00889,1.40879,0.72262,0.9195,0.78637,0.57121,1.05645,0.88086,1.07723,0.00120265,0.00120265,0.00120265
10,440.163,1.37315,0.97213,1.38699,0.71005,0.90213,0.77237,0.58031,1.02058,0.86928,1.02507,0.00117435,0.00117435,0.00117435
11,483.862,1.33701,0.9455,1.35829,0.72384,0.93549,0.78848,0.59951,0.95276,0.81886,0.98857,0.00114606,0.00114606,0.00114606
12,528.782,1.34581,0.94062,1.3571,0.72251,0.85102,0.77335,0.57969,1.00836,0.82961,1.03394,0.00111776,0.00111776,0.00111776
13,572.568,1.32643,0.93463,1.35473,0.76201,0.9076,0.8057,0.62202,0.94972,0.76252,0.99735,0.00108947,0.00108947,0.00108947
14,620.259,1.31151,0.90844,1.33638,0.74147,0.93971,0.80287,0.60832,0.95067,0.79535,1.00376,0.00106118,0.00106118,0.00106118
15,683.234,1.25804,1.20177,1.29247,0.74638,0.90727,0.80213,0.61961,0.90737,0.79908,0.99205,0.00103288,0.00103288,0.00103288
16,746.234,1.27567,0.88336,1.31728,0.72374,0.94991,0.79157,0.61489,0.94671,0.77832,0.98803,0.00100459,0.00100459,0.00100459
17,806.997,1.27383,0.86963,1.31591,0.7403,0.90081,0.79405,0.62531,0.89603,0.7967,0.97358,0.000976293,0.000976293,0.000976293
18,870.686,1.2336,1.57924,1.27984,0.7452,0.924,0.80105,0.60988,0.94017,0.76639,0.98801,0.000947999,0.000947999,0.000947999
19,934.232,1.22803,0.84433,1.28297,0.76816,0.94714,0.7986,0.62015,0.89382,0.75956,0.98226,0.000919704,0.000919704,0.000919704
20,994.102,1.24196,0.8456,1.29022,0.73744,0.9579,0.79937,0.61417,0.89048,0.76129,0.9833,0.00089141,0.00089141,0.00089141
21,1055.97,1.21453,0.82234,1.27181,0.74907,0.95775,0.80343,0.64072,0.88157,0.74866,0.97606,0.000863116,0.000863116,0.000863116
22,1118.75,1.21978,0.81501,1.27373,0.75564,0.89835,0.77303,0.59271,0.97487,0.77437,1.02635,0.000834822,0.000834822,0.000834822
23,1178.33,1.19133,0.80198,1.26089,0.77289,0.91074,0.80143,0.63765,0.87144,0.72212,0.95624,0.000806528,0.000806528,0.000806528
24,1238.6,1.18379,0.79787,1.24949,0.72699,0.94284,0.79581,0.61843,0.92462,0.78232,1.00701,0.000778233,0.000778233,0.000778233
25,1299.2,1.1754,0.79283,1.25547,0.75111,0.94023,0.80224,0.63689,0.87308,0.72013,0.96585,0.000749939,0.000749939,0.000749939
26,1359.55,1.1751,0.79195,1.24951,0.74785,0.92463,0.7969,0.61669,0.91728,0.77721,0.98649,0.000721645,0.000721645,0.000721645
27,1417.41,1.1591,0.7753,1.25237,0.74035,0.94253,0.79518,0.62757,0.86755,0.73859,0.96705,0.000693351,0.000693351,0.000693351
28,1479.1,1.14212,0.76177,1.22327,0.7587,0.95356,0.8088,0.64589,0.84396,0.72157,0.94892,0.000665057,0.000665057,0.000665057
29,1543.32,1.13097,0.7559,1.22087,0.75065,0.94546,0.79742,0.63458,0.84523,0.76584,0.95067,0.000636762,0.000636762,0.000636762
30,1606.42,1.14242,0.76572,1.22983,0.70932,0.93201,0.79932,0.64171,0.83818,0.78197,0.95618,0.000608468,0.000608468,0.000608468
31,1669.17,1.10871,0.75028,1.20401,0.77156,0.95004,0.80356,0.64305,0.84889,0.71157,0.95253,0.000580174,0.000580174,0.000580174
32,1732.59,1.11877,0.7511,1.22027,0.77268,0.95385,0.80827,0.64341,0.85,0.69531,0.96496,0.00055188,0.00055188,0.00055188
33,1795.72,1.09867,0.7268,1.19855,0.78161,0.92334,0.80084,0.6408,0.84581,0.69583,0.96861,0.000523586,0.000523586,0.000523586
34,1857.08,1.10342,0.73157,1.21106,0.77272,0.92967,0.80174,0.64581,0.83506,0.70086,0.95701,0.000495291,0.000495291,0.000495291
35,1918.5,1.08958,0.72248,1.19478,0.78284,0.92604,0.80772,0.64297,0.84372,0.6905,0.95618,0.000466997,0.000466997,0.000466997
36,1979.63,1.07595,0.71175,1.18951,0.78752,0.93486,0.80587,0.63939,0.84024,0.69944,0.96607,0.000438703,0.000438703,0.000438703
37,2040.01,1.05922,0.70228,1.17322,0.77495,0.95745,0.80688,0.64454,0.81793,0.67459,0.94288,0.000410409,0.000410409,0.000410409
38,2099.67,1.06144,0.72239,1.17807,0.78099,0.94237,0.80672,0.64166,0.82273,0.68147,0.95398,0.000382115,0.000382115,0.000382115
39,2158.86,1.03915,1.24981,1.15691,0.78243,0.95109,0.81105,0.65608,0.80722,0.67697,0.93802,0.00035382,0.00035382,0.00035382
