id,url,foreign_landing_url,title,creator,creator_url,license,license_version,license_url,source,attribution,is_table,eye_level,verdict
003a13ff-6203-4d9d-85f7-19ce7a9d4504,https://upload.wikimedia.org/wikipedia/commons/7/77/Bumper_pool_table.jpg,https://commons.wikimedia.org/w/index.php?curid=6749494,Bumper pool table,GLaDOS,https://commons.wikimedia.org/w/index.php?title=User:GLaDOS&action=edit&redlink=1,by-sa,3.0,https://creativecommons.org/licenses/by-sa/3.0/,wikimedia,"""Bumper pool table"" by GLaDOS is licensed under CC BY-SA 3.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/3.0/.",0.999,0.777,keep
005272fc-9c21-4a1e-ab9f-860478187692,https://upload.wikimedia.org/wikipedia/commons/5/5b/Ruslan_Chinakov.JPG,https://commons.wikimedia.org/w/index.php?curid=5053831,Ruslan Chinakov,Sebastian Voigt; upload by Tmv23,https://commons.wikimedia.org/wiki/User:Tmv23,by,3.0,https://creativecommons.org/licenses/by/3.0/,wikimedia,"""Ruslan Chinakov"" by Sebastian Voigt; upload by Tmv23 is licensed under CC BY 3.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/3.0/.",0.915,1.000,keep
0053b7b0-ea26-4447-9401-492fb5751c08,https://live.staticflickr.com/2570/4125759836_3d826294e5_b.jpg,https://www.flickr.com/photos/12085242@N06/4125759836,SOFA Pool Hall,bobbleheads_music,https://www.flickr.com/photos/12085242@N06,by,2.0,https://creativecommons.org/licenses/by/2.0/,flickr,"""SOFA Pool Hall"" by bobbleheads_music is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",0.944,0.994,keep
006ee7f4-e8e7-4812-83c7-0843ccc19629,https://live.staticflickr.com/186/384442640_53f1bd6a23.jpg,https://www.flickr.com/photos/90822422@N00/384442640,GameShow! | Buffalo Billiards,That Other Paper,https://www.flickr.com/photos/90822422@N00,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,flickr,"""GameShow! | Buffalo Billiards"" by That Other Paper is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",0.995,0.873,keep
012debe5-c6f6-4cdf-8c1b-4b1014f202ab,https://live.staticflickr.com/3/4323206_24ef63ccb6_b.jpg,https://www.flickr.com/photos/26011645@N00/4323206,Andy and Greg Play Pool,Paul Schultz,https://www.flickr.com/photos/26011645@N00,by,2.0,https://creativecommons.org/licenses/by/2.0/,flickr,"""Andy and Greg Play Pool"" by Paul Schultz is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",1.000,1.000,keep
015996ba-0865-4db9-b4d9-891e448d7b7e,https://upload.wikimedia.org/wikipedia/commons/8/85/Olympic_Club_Hotel_-_shooting_pool_02.jpg,https://commons.wikimedia.org/w/index.php?curid=21181116,Olympic Club Hotel - shooting pool 02,Joe Mabel,https://commons.wikimedia.org/wiki/User:Jmabel,by-sa,3.0,https://creativecommons.org/licenses/by-sa/3.0/,wikimedia,"""Olympic Club Hotel - shooting pool 02"" by Joe Mabel is licensed under CC BY-SA 3.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/3.0/.",0.999,0.999,keep
01823685-92ca-4a8e-aae6-44f651643581,https://images.rawpixel.com/editor_1024/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvc2syMTU0LWltYWdlLWt3dnhhaXNhLmpwZw.jpg,https://www.rawpixel.com/image/5920136/photo-image-background-public-domain-blue,Free pool ball pool table,,,cc0,1.0,https://creativecommons.org/publicdomain/zero/1.0/,rawpixel,"""Free pool ball pool table"" is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/.",1.000,0.993,keep
01892059-88a0-49c0-aa58-416aac516e81,https://live.staticflickr.com/65535/54205044291_c4f9d753ee_b.jpg,https://www.flickr.com/photos/194424926@N05/54205044291,DSC_6751: a pool ball sitting on top of a red pool table,PattayaPatrol,https://www.flickr.com/photos/194424926@N05,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,flickr,"""DSC_6751: a pool ball sitting on top of a red pool table"" by PattayaPatrol is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",1.000,0.945,keep
019e98fb-75ad-40c5-b686-720161fdba5c,https://pd.w.org/2025/04/31267f4fe76cfd875.81297523-1536x2048.jpg,https://wordpress.org/photos/photo/31267f4fe7/,A pool table with a blue felt surface featuring a pool cue resting diagonally across the table.,mujuonly,https://twitter.com/mujuonly,cc0,1.0,https://creativecommons.org/publicdomain/zero/1.0/,wordpress,"""A pool table with a blue felt surface featuring a pool cue resting diagonally across the table."" by mujuonly is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/.",0.999,0.567,keep
01a48d4f-8fce-48b1-9b70-9bc9690141c5,https://live.staticflickr.com/21/32468597_bb19c62472_b.jpg,https://www.flickr.com/photos/48600093035@N01/32468597,Pool table,dougward,https://www.flickr.com/photos/48600093035@N01,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,flickr,"""Pool table"" by dougward is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",1.000,0.929,keep
