epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,36.7189,1.99186,2.55583,1.85166,0.99751,0.3536,0.83897,0.50746,1.45618,2.32162,1.31708,0.00988095,0.00329365,0.00988095,0.00329365,0.00988095,0.00329365,0.00988095,0.00329365
2,70.7831,1.62095,1.36641,1.5571,0.9387,0.89665,0.95753,0.68494,1.11207,0.86291,1.08588,0.0198153,0.00660512,0.0198153,0.00660512,0.0198153,0.00660512,0.0198153,0.00660512
3,101.748,1.58078,1.27642,1.5218,0.83027,0.85392,0.90039,0.59495,1.16203,0.89955,1.13387,0.0296837,0.00989458,0.0296837,0.00989458,0.0296837,0.00989458,0.0296837,0.00989458
4,133.239,1.571,1.20948,1.50682,0.90695,0.85128,0.93094,0.63343,1.20208,0.84026,1.1276,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,30.9181,1.50772,1.12349,1.47068,0.92613,0.9284,0.97105,0.68419,1.04425,0.72292,1.07492,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,63.1879,1.46109,1.05273,1.43832,0.93516,0.89145,0.96057,0.67791,1.06046,0.67778,1.06614,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,94.4385,1.43014,1.00327,1.41011,0.93639,0.94135,0.97567,0.70665,1.03799,0.6191,1.03174,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,125.854,1.39839,0.95613,1.38508,0.96196,0.88119,0.95889,0.69908,1.02309,0.64136,1.06001,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,157.373,1.39098,0.9403,1.37695,0.96195,0.9253,0.98089,0.73921,0.95768,0.58064,1.00609,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,188.75,1.35351,0.89865,1.3552,0.95894,0.94541,0.9773,0.72948,0.96171,0.58643,1.01709,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
